Date	One-Time Payment	Bump	Upsell 1	Upsell 2	Upsell 3	Upsell 4	Total Units	Total Revenue
4/24/2026	1	0	0	0	0	0	1	17
4/25/2026	3	0	1	0	0	0	4	98
4/26/2026	1	1	0	0	0	0	2	28
4/27/2026	2	1	0	0	0	0	3	45
4/28/2026	2	1	1	0	0	0	4	92
4/29/2026	1	0	0	0	0	0	1	17
5/1/2026	4	1	0	0	0	0	5	79
5/2/2026	2	1	1	0	0	0	4	92
5/3/2026	2	0	0	0	0	0	2	34
5/4/2026	3	1	1	0	0	0	5	109
5/5/2026	5	2	1	0	0	0	8	154
5/6/2026	3	1	0	0	0	0	4	62
5/8/2026	5	1	1	1	0	0	8	240
5/9/2026	5	1	1	0	0	0	7	143
5/10/2026	6	2	0	0	0	1	9	129
5/11/2026	6	3	1	1	0	0	11	279
5/12/2026	3	2	0	0	0	0	5	73
5/13/2026	10	5	1	1	0	0	17	369
5/14/2026	9	4	0	0	0	0	13	197
5/15/2026	6	4	2	1	1	1	15	379
5/16/2026	13	10	3	2	2	0	30	740
5/17/2026	13	2	2	1	0	0	18	434
5/18/2026	10	2	1	1	0	0	14	336
5/19/2026	6	5	1	1	0	0	13	301
5/20/2026	18	12	4	2	0	0	36	820
5/21/2026	14	8	4	0	0	1	27	519
5/22/2026	8	4	4	1	0	0	17	465
5/23/2026	7	4	2	1	0	0	14	354
5/24/2026	5	2	1	1	0	0	9	251
5/25/2026	6	3	0	0	0	0	9	135
5/26/2026	2	1	0	0	0	0	3	45
5/27/2026	7	6	3	0	1	0	17	363
5/28/2026	3	2	0	1	0	0	6	170
5/29/2026	5	2	0	0	0	0	7	107
5/30/2026	3	2	2	2	0	0	9	361
5/31/2026	3	1	0	0	0	0	4	62
6/1/2026	5	1	1	0	1	0	8	180
6/2/2026	13	5	0	0	0	0	18	276
6/3/2026	5	3	2	0	0	0	10	212
6/4/2026	8	5	2	0	0	1	16	290
6/5/2026	7	4	1	0	0	0	12	210
6/6/2026	7	3	0	0	0	0	10	152
6/7/2026	11	7	0	1	0	0	19	361
6/8/2026	2	1	0	0	0	0	3	45
6/9/2026	3	2	1	0	0	0	6	120
